NODE NAME,DEGREE
<type 'NoneType'>@@vocab_name,2
<class 'stix.data_marking.Marking'>@@Handling,3
<type 'datetime.datetime'>@@timestamp,2
<type 'str'>@@definer,2
<type 'NoneType'>@@marking_model_ref,1
<type 'NoneType'>@@marking_model_name,1
<class 'stix.indicator.sightings.Sighting'>@@Sighting,8
<type 'str'>@@valueOf_,4
<type 'NoneType'>@@Kill_Chain_Phases,3
<type 'str'>@@category,2
<type 'NoneType'>@@In_Reply_To,1
<type 'NoneType'>@@has_changed,2
<type 'NoneType'>@@defanging_algorithm_ref,2
<type 'NoneType'>@@Raw_Body,1
<class 'cybox.common.time.Time'>@@Time,5
<type 'NoneType'>@@Related_Indicators,3
<class 'cybox.core.object.Object'>@@Object,7
<class 'stix.extensions.marking.tlp.TLPMarkingStructure'>@@Marking_Structure,6
<type 'NoneType'>@@Identity,1
<type 'NoneType'>@@Title,4
<class 'stix.core.stix_header.STIXHeader'>@@STIX_Header,8
<class 'mixbox.typedlist.TypedList'>@@Kill_Chain,2
<class 'cybox.objects.address_object.EmailAddress'>@@From,10
<class 'mixbox.typedlist.TypedList'>@@Kill_Chain_Phase,3
<type 'NoneType'>@@VLAN_Num,2
<type 'NoneType'>@@Start_Time,1
<type 'NoneType'>@@id,5
<type 'str'>@@version,3
<type 'NoneType'>@@bit_mask,2
<type 'NoneType'>@@appears_random,2
<type 'NoneType'>@@Source,2
<type 'NoneType'>@@Precedence,1
<type 'NoneType'>@@vocab_reference,2
<type 'NoneType'>@@Related_Observables,2
<class 'stix.indicator.indicator.Indicator'>@@Composite_Indicator_Expression,25
<type 'NoneType'>@@MIME_Version,1
<type 'str'>@@apply_condition,2
<type 'datetime.datetime'>@@valueOf_,1
<type 'NoneType'>@@observed_encoding,2
<class 'stix.core.stix_package.STIXPackage'>@@stix_package,16
<type 'NoneType'>@@Incidents,1
<type 'NoneType'>@@BCC,1
<type 'NoneType'>@@Email_Server,1
<class 'cybox.objects.address_object.Address'>@@Properties,10
<class 'stix.common.structured_text.StructuredTextList'>@@Short_Description,4
<class 'stix.indicator.indicator.CompositeIndicatorExpression'>@@Composite_Indicator_Expression,5
<type 'str'>@@id,7
<class 'stix.indicator.sightings.Sightings'>@@Sightings,5
