NODE NAME,DEGREE
Information_Source,10
Indicator,28
Title,5
object_reference,2
vocab_reference,2
Role,1
vocab_name,2
Composite_Indicator_Expression,28
has_changed,2
timestamp_precision,2
Object,6
is_spoofed,2
appears_random,2
User_Agent,1
is_defanged,2
Observable,14
Sender,1
kill_chain_name,2
Suggested_COAs,3
timestamp,6
Related_Campaigns,3
condition,2
Produced_Time,3
name,4
Reference,2
refanging_transform,2
Kill_Chain_Phases,11
valueOf_,5
datatype,2
Event,1
phase_id,2
Marking,9
From,10
reference,2
trend,2
Start_Time,1
operator,1
Marking_Structure,9
Related_Packages,4
Indicators,29
Type,9
category,2
Raw_Body,1
Custom_Properties,2
TTP,1
Campaigns,1
is_source,2
version,6
Exploit_Targets,1
Observable_Composition,1
X_Priority,1
Subject,22
sightings_count,1
obfuscation_algorithm_ref,2
refanging_transform_type,2
Raw_Header,1
Indicated_TTP,3
Profiles,1
Short_Description,4
Related_Indicators,3
marking_model_name,1
is_destination,2
is_obfuscated,2
Message_ID,1
Valid_Time_Position,3
X_Mailer,1
Package_Intent,7
delimiter,2
sighting_count,1
In_Reply_To,1
Observable_Source,1
pattern_type,2
Received_Time,1
STIX_Header,8
color,1
Alternative_ID,3
BCC,1
number_of_phases,2
Test_Mechanisms,3
Related_Objects,1
negate,3
MIME_Version,1
Boundary,1
idref,11
Courses_Of_Action,1
xsi_type,2
bit_mask,2
Sightings,14
Domain_Specific_Object_Properties,1
Received_Lines,1
Likely_Impact,3
Kill_Chains,10
Date,1
Properties,16
Identity,1
Related_Observables,2
CC,1
Errors_To,1
precision,1
root_start,1
Incidents,1
Sighting,10
Time,5
Attachments,1
Precedence,1
kill_chain_id,2
Producer,3
Header,21
defanging_algorithm_ref,2
ordinality,2
References,1
Keywords,1
Pattern_Fidelity,1
Confidence,5
TTPs,3
Kill_Chain,9
To,1
X_Originating_IP,1
Controlled_Structure,2
Email_Server,1
id,12
definer,2
Description,8
apply_condition,2
is_case_sensitive,2
Links,1
VLAN_Name,2
observed_encoding,2
Reply_To,1
stix_package,16
Handling,13
Kill_Chain_Phase,10
Address_Value,23
Reports,1
VLAN_Num,2
Content_Type,1
Observables,1
regex_syntax,2
Source,2
Tools,1
marking_model_ref,1
End_Time,1
Contributing_Sources,1
Threat_Actors,1
